size,p_nu,p_alpha,p_beta,p_mu,p_lambda,q_95,q_99,p_tex
10000,0.15,-0.5,0,0.7,0.1,0.943803979461217,2.11237806468166,"n_ 2 _nu_ 1 _alpha_ 1 _beta_ 1 _mu_ 1 _lambda_ 1.csv"
10000,0.15,-0.5,0,0.7,0.6,1.07105669333464,2.02225015984166,"n_ 2 _nu_ 1 _alpha_ 1 _beta_ 1 _mu_ 1 _lambda_ 2.csv"
10000,0.15,-0.5,0,0.7,1.1,1.03557452516225,1.87420971213763,"n_ 2 _nu_ 1 _alpha_ 1 _beta_ 1 _mu_ 1 _lambda_ 3.csv"
10000,0.15,-0.5,0,0.7,4,0.874544363408664,1.46971789506051,"n_ 2 _nu_ 1 _alpha_ 1 _beta_ 1 _mu_ 1 _lambda_ 4.csv"
10000,0.15,-0.5,0,1.8,0.1,0.92137742404751,2.19831249624671,"n_ 2 _nu_ 1 _alpha_ 1 _beta_ 1 _mu_ 2 _lambda_ 1.csv"
10000,0.15,-0.5,0,1.8,0.6,1.16178875701372,2.20095657135994,"n_ 2 _nu_ 1 _alpha_ 1 _beta_ 1 _mu_ 2 _lambda_ 2.csv"
10000,0.15,-0.5,0,1.8,1.1,1.1494505902717,2.07190783979485,"n_ 2 _nu_ 1 _alpha_ 1 _beta_ 1 _mu_ 2 _lambda_ 3.csv"
10000,0.15,-0.5,0,1.8,4,1.00923924076071,1.67946025059101,"n_ 2 _nu_ 1 _alpha_ 1 _beta_ 1 _mu_ 2 _lambda_ 4.csv"
10000,0.15,0.05,0,0.7,0.1,5.22171218228851,9.75842709418805,"n_ 2 _nu_ 1 _alpha_ 2 _beta_ 1 _mu_ 1 _lambda_ 1.csv"
10000,0.15,0.05,0,0.7,0.6,2.44319263982324,4.23012644054821,"n_ 2 _nu_ 1 _alpha_ 2 _beta_ 1 _mu_ 1 _lambda_ 2.csv"
